method,split,seed,mean_success_rate,ci95_success_rate,mean_harmful_transfer_rate,ci95_harmful_transfer_rate,mean_tactile_event_f1,ci95_tactile_event_f1,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
no_tactile_policy,heldout_material,1,0.369048,0.017192,0.104535,0.004805,0.300552,0.006580,0.106723,0.002680,0.094555,0.001573,0.119704,0.001433,35,84
no_tactile_policy,heldout_material,2,0.375850,0.017279,0.105034,0.004812,0.300253,0.006660,0.106943,0.002542,0.094769,0.001496,0.119846,0.001539,35,84
no_tactile_policy,heldout_material,3,0.370748,0.018552,0.105190,0.004634,0.299954,0.006367,0.106512,0.002705,0.094968,0.001394,0.119753,0.001538,35,84
no_tactile_policy,heldout_material,4,0.369388,0.023732,0.105345,0.004727,0.299655,0.005990,0.106673,0.002685,0.095101,0.001564,0.119660,0.001358,35,84
no_tactile_policy,heldout_material,5,0.353061,0.020693,0.105501,0.004943,0.299356,0.005587,0.107209,0.002673,0.095274,0.001512,0.120023,0.001367,35,84
no_tactile_policy,heldout_material,6,0.375850,0.020456,0.105314,0.005139,0.298028,0.005978,0.106961,0.002729,0.094971,0.001508,0.119694,0.001265,35,84
no_tactile_policy,heldout_object,0,0.385034,0.021791,0.096025,0.005042,0.304733,0.006309,0.102986,0.002757,0.091515,0.001415,0.116668,0.001248,35,84
no_tactile_policy,heldout_object,1,0.372789,0.022953,0.096168,0.004880,0.305445,0.006295,0.103181,0.002797,0.092063,0.001477,0.116795,0.001360,35,84
no_tactile_policy,heldout_object,2,0.384014,0.022441,0.096312,0.004714,0.305642,0.006270,0.102790,0.002681,0.091504,0.001567,0.116693,0.001313,35,84
no_tactile_policy,heldout_object,3,0.379932,0.025674,0.094741,0.004644,0.306354,0.006255,0.103068,0.002795,0.091677,0.001661,0.117011,0.001315,35,84
no_tactile_policy,heldout_object,4,0.385034,0.015570,0.095227,0.004648,0.306552,0.006380,0.103092,0.002530,0.091456,0.001442,0.117146,0.001322,35,84
no_tactile_policy,heldout_object,5,0.375170,0.017829,0.095371,0.004732,0.306235,0.006860,0.103457,0.002598,0.091505,0.001398,0.117273,0.001444,35,84
no_tactile_policy,heldout_object,6,0.381633,0.016649,0.095515,0.004556,0.305917,0.006798,0.103414,0.002513,0.091488,0.001291,0.117400,0.001410,35,84
oracle_feature_selector,clean_transfer,0,0.778571,0.018380,0.045007,0.002459,0.685621,0.006460,0.033792,0.002517,0.172466,0.001543,0.042382,0.001339,35,84
oracle_feature_selector,clean_transfer,1,0.780272,0.016356,0.045187,0.002286,0.684844,0.006367,0.034124,0.002576,0.172788,0.001562,0.042305,0.001428,35,84
oracle_feature_selector,clean_transfer,2,0.763605,0.020475,0.045709,0.002289,0.685610,0.006352,0.034492,0.002512,0.173212,0.001497,0.042464,0.001427,35,84
oracle_feature_selector,clean_transfer,3,0.793197,0.017221,0.045546,0.002251,0.686376,0.006338,0.034093,0.002337,0.172574,0.001464,0.042151,0.001228,35,84
oracle_feature_selector,clean_transfer,4,0.772789,0.021525,0.046069,0.002257,0.684569,0.006227,0.034326,0.002535,0.172608,0.001689,0.042539,0.001231,35,84
oracle_feature_selector,clean_transfer,5,0.781633,0.017454,0.044876,0.002369,0.684821,0.006137,0.033884,0.002570,0.171886,0.001658,0.042660,0.001192,35,84
oracle_feature_selector,clean_transfer,6,0.771088,0.016817,0.044713,0.002590,0.685587,0.006122,0.033802,0.002451,0.171514,0.001563,0.041661,0.001220,35,84
oracle_feature_selector,combined_stress,0,0.730952,0.015840,0.060763,0.002977,0.657095,0.006535,0.049475,0.002203,0.189552,0.000956,0.057992,0.001169,35,84
oracle_feature_selector,combined_stress,1,0.737075,0.019164,0.060948,0.003022,0.657356,0.006676,0.049014,0.002369,0.189569,0.001086,0.058377,0.001174,35,84
oracle_feature_selector,combined_stress,2,0.742857,0.017669,0.060448,0.003067,0.657102,0.006472,0.049180,0.002363,0.189364,0.001290,0.058289,0.001285,35,84
oracle_feature_selector,combined_stress,3,0.750680,0.021896,0.060634,0.002869,0.656848,0.006308,0.048906,0.002525,0.189123,0.001452,0.057987,0.001024,35,84
oracle_feature_selector,combined_stress,4,0.750340,0.021164,0.061162,0.002874,0.657623,0.006294,0.049100,0.002564,0.188799,0.001526,0.058150,0.001017,35,84
oracle_feature_selector,combined_stress,5,0.746259,0.018788,0.061691,0.002879,0.658398,0.006279,0.049386,0.002572,0.188772,0.001573,0.058543,0.001018,35,84
oracle_feature_selector,combined_stress,6,0.747619,0.019127,0.061877,0.003085,0.658658,0.006166,0.049503,0.002534,0.188646,0.001499,0.058241,0.001203,35,84
oracle_feature_selector,heldout_geometry,0,0.750340,0.019310,0.055941,0.003056,0.667836,0.006392,0.044231,0.002262,0.182638,0.001363,0.051964,0.001144,35,84
oracle_feature_selector,heldout_geometry,1,0.750000,0.017534,0.056475,0.003059,0.667591,0.006567,0.043971,0.002426,0.182776,0.001506,0.051674,0.001185,35,84
oracle_feature_selector,heldout_geometry,2,0.754762,0.018750,0.056324,0.002952,0.667346,0.006462,0.043972,0.002283,0.182593,0.001620,0.051826,0.001078,35,84
oracle_feature_selector,heldout_geometry,3,0.756803,0.019114,0.055830,0.003008,0.667615,0.006587,0.043779,0.002481,0.182688,0.001574,0.051514,0.001296,35,84
oracle_feature_selector,heldout_geometry,4,0.744558,0.018655,0.055678,0.003043,0.667885,0.006527,0.044206,0.002493,0.182812,0.001613,0.051666,0.001243,35,84
oracle_feature_selector,heldout_geometry,5,0.762585,0.019368,0.055527,0.003003,0.668669,0.006512,0.043647,0.002331,0.182619,0.001490,0.051361,0.001344,35,84
oracle_feature_selector,heldout_geometry,6,0.757143,0.015460,0.055032,0.003080,0.668424,0.006263,0.043641,0.002395,0.182849,0.001452,0.051735,0.001344,35,84
oracle_feature_selector,heldout_material,0,0.763946,0.019615,0.052754,0.002988,0.671692,0.006067,0.041352,0.002395,0.180150,0.001422,0.049441,0.001235,35,84
oracle_feature_selector,heldout_material,1,0.764966,0.019982,0.052946,0.002824,0.671447,0.006153,0.041482,0.002545,0.179577,0.001482,0.049143,0.001329,35,84
oracle_feature_selector,heldout_material,2,0.779592,0.019982,0.052794,0.002784,0.671717,0.006388,0.041008,0.002638,0.178989,0.001414,0.049525,0.001326,35,84
oracle_feature_selector,heldout_material,3,0.765646,0.017528,0.053329,0.002792,0.672501,0.006374,0.041317,0.002774,0.179143,0.001376,0.049692,0.001350,35,84
oracle_feature_selector,heldout_material,4,0.765306,0.017653,0.053178,0.002634,0.673285,0.006360,0.040532,0.002794,0.179281,0.001329,0.049616,0.001248,35,84
oracle_feature_selector,heldout_material,5,0.756122,0.020028,0.053369,0.002456,0.673554,0.006205,0.040687,0.002663,0.179806,0.001367,0.049090,0.001324,35,84
oracle_feature_selector,heldout_material,6,0.770748,0.018778,0.053218,0.002162,0.674338,0.006191,0.040442,0.002490,0.179446,0.001403,0.049242,0.001423,35,84
oracle_feature_selector,heldout_object,0,0.761565,0.018610,0.049779,0.002669,0.677802,0.006441,0.038587,0.002517,0.177624,0.001514,0.046735,0.001328,35,84
oracle_feature_selector,heldout_object,1,0.765646,0.017658,0.049959,0.002492,0.677025,0.006348,0.038859,0.002548,0.177674,0.001490,0.046886,0.001435,35,84
oracle_feature_selector,heldout_object,2,0.754762,0.021775,0.050139,0.002475,0.677791,0.006333,0.039048,0.002467,0.177994,0.001610,0.046581,0.001328,35,84
oracle_feature_selector,heldout_object,3,0.757823,0.019579,0.050318,0.002458,0.676499,0.006184,0.039118,0.002453,0.177834,0.001544,0.046732,0.001235,35,84
oracle_feature_selector,heldout_object,4,0.762925,0.017308,0.050498,0.002657,0.676750,0.006206,0.038678,0.002611,0.177409,0.001777,0.047113,0.001241,35,84
oracle_feature_selector,heldout_object,5,0.766667,0.020431,0.049306,0.002639,0.677002,0.006116,0.038365,0.002546,0.176550,0.001538,0.046320,0.001238,35,84
oracle_feature_selector,heldout_object,6,0.763946,0.019262,0.049142,0.002716,0.677768,0.006101,0.037858,0.002472,0.176037,0.001537,0.046235,0.001222,35,84
proposed_negative_transfer_guard,clean_transfer,0,0.702041,0.019333,0.058759,0.003255,0.619314,0.006435,0.050744,0.002590,0.218106,0.001469,0.061346,0.001411,35,84
proposed_negative_transfer_guard,clean_transfer,1,0.700000,0.020601,0.058993,0.003301,0.619647,0.006583,0.050753,0.002729,0.217616,0.001544,0.061077,0.001317,35,84
proposed_negative_transfer_guard,clean_transfer,2,0.694558,0.018072,0.058884,0.003113,0.619465,0.006052,0.051042,0.002572,0.218103,0.001507,0.061258,0.001301,35,84
proposed_negative_transfer_guard,clean_transfer,3,0.707143,0.022047,0.058088,0.003265,0.619797,0.005880,0.050583,0.002659,0.218036,0.001530,0.061653,0.001305,35,84
proposed_negative_transfer_guard,clean_transfer,4,0.720408,0.021269,0.058322,0.003446,0.619100,0.005864,0.049753,0.002686,0.217500,0.001420,0.061156,0.001298,35,84
proposed_negative_transfer_guard,clean_transfer,5,0.695578,0.020964,0.058556,0.003488,0.618918,0.005664,0.050560,0.002833,0.218335,0.001405,0.060888,0.001461,35,84
proposed_negative_transfer_guard,clean_transfer,6,0.684354,0.021525,0.058789,0.003471,0.619765,0.005649,0.050799,0.002769,0.218926,0.001453,0.061077,0.001358,35,84
proposed_negative_transfer_guard,combined_stress,0,0.640816,0.031530,0.087504,0.003979,0.592166,0.006131,0.067534,0.002951,0.235363,0.001371,0.077396,0.001348,35,84
proposed_negative_transfer_guard,combined_stress,1,0.652381,0.025593,0.087400,0.003934,0.590964,0.006081,0.067402,0.002758,0.235547,0.001205,0.077582,0.001249,35,84
proposed_negative_transfer_guard,combined_stress,2,0.645918,0.020657,0.087640,0.004011,0.590276,0.005813,0.067755,0.002644,0.236056,0.001061,0.077775,0.001377,35,84
proposed_negative_transfer_guard,combined_stress,3,0.650680,0.021410,0.088223,0.004016,0.590618,0.006017,0.067634,0.002841,0.235905,0.001330,0.077747,0.001474,35,84
proposed_negative_transfer_guard,combined_stress,4,0.648299,0.020277,0.087776,0.003998,0.590959,0.005774,0.067816,0.002732,0.235883,0.001293,0.077467,0.001443,35,84
proposed_negative_transfer_guard,combined_stress,5,0.646599,0.020887,0.088016,0.003980,0.591301,0.005807,0.067593,0.002785,0.236306,0.001381,0.077203,0.001298,35,84
proposed_negative_transfer_guard,combined_stress,6,0.654422,0.018536,0.087569,0.004220,0.590613,0.005822,0.067521,0.002852,0.236329,0.001479,0.077152,0.001326,35,84
proposed_negative_transfer_guard,heldout_geometry,0,0.658503,0.021703,0.078000,0.003987,0.602145,0.006812,0.061983,0.002722,0.229056,0.001398,0.071155,0.001403,35,84
proposed_negative_transfer_guard,heldout_geometry,1,0.663605,0.019068,0.076874,0.004017,0.603010,0.006798,0.061229,0.002486,0.229361,0.001348,0.071094,0.001195,35,84
proposed_negative_transfer_guard,heldout_geometry,2,0.667347,0.022083,0.077119,0.004006,0.602331,0.006456,0.061103,0.002553,0.229004,0.001532,0.070833,0.001380,35,84
proposed_negative_transfer_guard,heldout_geometry,3,0.672789,0.021312,0.076679,0.003747,0.601653,0.006100,0.061323,0.002535,0.228616,0.001455,0.071244,0.001377,35,84
proposed_negative_transfer_guard,heldout_geometry,4,0.678571,0.018794,0.076925,0.003801,0.602003,0.006107,0.061146,0.002224,0.228223,0.001254,0.071213,0.001456,35,84
proposed_negative_transfer_guard,heldout_geometry,5,0.675510,0.018532,0.075798,0.003986,0.602354,0.005886,0.061282,0.002550,0.228445,0.001388,0.071608,0.001466,35,84
proposed_negative_transfer_guard,heldout_geometry,6,0.660544,0.022009,0.075358,0.003832,0.602190,0.005474,0.060869,0.002352,0.229111,0.001304,0.071562,0.001470,35,84
proposed_negative_transfer_guard,heldout_material,0,0.684694,0.016879,0.072661,0.003616,0.606225,0.005975,0.058674,0.002507,0.225526,0.001495,0.068913,0.001185,35,84
proposed_negative_transfer_guard,heldout_material,1,0.674150,0.018000,0.071535,0.003931,0.606061,0.005559,0.058768,0.002394,0.225655,0.001358,0.068623,0.001376,35,84
proposed_negative_transfer_guard,heldout_material,2,0.663265,0.017339,0.071095,0.003634,0.606926,0.005545,0.059168,0.002369,0.226248,0.001316,0.068576,0.001448,35,84
proposed_negative_transfer_guard,heldout_material,3,0.688095,0.019341,0.070997,0.003660,0.606762,0.005346,0.057795,0.002429,0.226197,0.001342,0.068995,0.001455,35,84
proposed_negative_transfer_guard,heldout_material,4,0.677551,0.020435,0.071586,0.003665,0.607113,0.005582,0.057832,0.002376,0.226326,0.001376,0.069428,0.001459,35,84
proposed_negative_transfer_guard,heldout_material,5,0.679592,0.017956,0.071489,0.003388,0.606949,0.005802,0.057943,0.002377,0.226457,0.001408,0.068703,0.001437,35,84
proposed_negative_transfer_guard,heldout_material,6,0.677891,0.019344,0.071391,0.003260,0.606785,0.006089,0.057461,0.002478,0.226427,0.001368,0.068435,0.001305,35,84
proposed_negative_transfer_guard,heldout_object,0,0.697959,0.016066,0.066989,0.003521,0.611819,0.006415,0.055247,0.002841,0.222489,0.001472,0.065461,0.001313,35,84
proposed_negative_transfer_guard,heldout_object,1,0.679592,0.025116,0.066880,0.003330,0.611637,0.006350,0.056088,0.002884,0.222980,0.001637,0.065642,0.001297,35,84
proposed_negative_transfer_guard,heldout_object,2,0.686735,0.018270,0.066770,0.003593,0.611969,0.006031,0.055605,0.002728,0.223240,0.001539,0.066052,0.001305,35,84
proposed_negative_transfer_guard,heldout_object,3,0.687075,0.018513,0.066661,0.003485,0.611273,0.005508,0.055521,0.002713,0.222936,0.001384,0.065548,0.001298,35,84
proposed_negative_transfer_guard,heldout_object,4,0.695578,0.021007,0.066552,0.003706,0.610576,0.005660,0.055004,0.002665,0.222943,0.001294,0.065272,0.001462,35,84
proposed_negative_transfer_guard,heldout_object,5,0.672449,0.022685,0.066785,0.003687,0.611423,0.005644,0.055540,0.002786,0.223747,0.001408,0.065461,0.001360,35,84
proposed_negative_transfer_guard,heldout_object,6,0.670408,0.021385,0.067019,0.003759,0.610727,0.005872,0.055550,0.002601,0.224173,0.001381,0.065649,0.001381,35,84
scratch_tactile_policy,clean_transfer,0,0.536395,0.017137,0.072813,0.004191,0.452040,0.006078,0.079040,0.002637,0.131812,0.001349,0.095215,0.001516,35,84
scratch_tactile_policy,clean_transfer,1,0.513946,0.023480,0.073330,0.004197,0.452797,0.006063,0.079548,0.002752,0.132336,0.001566,0.094913,0.001447,35,84
scratch_tactile_policy,clean_transfer,2,0.513946,0.021271,0.073504,0.004124,0.452010,0.006210,0.079918,0.002536,0.132455,0.001283,0.094832,0.001569,35,84
scratch_tactile_policy,clean_transfer,3,0.506122,0.025043,0.073334,0.004178,0.452252,0.006314,0.079991,0.002824,0.132716,0.001354,0.094972,0.001485,35,84
scratch_tactile_policy,clean_transfer,4,0.519048,0.022026,0.073508,0.004168,0.452495,0.006398,0.079809,0.002947,0.132603,0.001412,0.094662,0.001380,35,84
scratch_tactile_policy,clean_transfer,5,0.522789,0.019613,0.072310,0.004015,0.452223,0.006251,0.079948,0.002726,0.132656,0.001435,0.095008,0.001380,35,84
scratch_tactile_policy,clean_transfer,6,0.508503,0.025246,0.071797,0.004229,0.452465,0.006443,0.080378,0.002848,0.131889,0.001608,0.094683,0.001310,35,84
scratch_tactile_policy,combined_stress,0,0.451701,0.020087,0.116665,0.004969,0.424961,0.006299,0.098187,0.002841,0.149751,0.001435,0.110715,0.001445,35,84
scratch_tactile_policy,combined_stress,1,0.440136,0.022767,0.117187,0.004974,0.425213,0.006180,0.098885,0.002768,0.149854,0.001350,0.110417,0.001248,35,84
scratch_tactile_policy,combined_stress,2,0.443878,0.020948,0.116681,0.004923,0.425464,0.006350,0.098640,0.002714,0.149682,0.001348,0.110782,0.001248,35,84
scratch_tactile_policy,combined_stress,3,0.446939,0.017776,0.116861,0.004912,0.425716,0.006465,0.098709,0.002457,0.149751,0.001343,0.110248,0.001302,35,84
scratch_tactile_policy,combined_stress,4,0.431293,0.023197,0.116697,0.004879,0.425967,0.006321,0.098983,0.002402,0.150156,0.001265,0.110392,0.001278,35,84
scratch_tactile_policy,combined_stress,5,0.436395,0.021875,0.116877,0.004798,0.425704,0.005930,0.099001,0.002362,0.150417,0.001301,0.110772,0.001280,35,84
scratch_tactile_policy,combined_stress,6,0.459184,0.025350,0.116713,0.004678,0.425956,0.006006,0.098543,0.002514,0.150359,0.001286,0.110916,0.001329,35,84
scratch_tactile_policy,heldout_geometry,0,0.446939,0.019211,0.100207,0.004620,0.436644,0.006460,0.092116,0.002582,0.144148,0.001516,0.104392,0.001479,35,84
scratch_tactile_policy,heldout_geometry,1,0.456803,0.021857,0.100393,0.004609,0.437419,0.006445,0.092020,0.002670,0.144327,0.001634,0.104548,0.001514,35,84
scratch_tactile_policy,heldout_geometry,2,0.472109,0.023837,0.100921,0.004613,0.436136,0.006282,0.091593,0.002632,0.143951,0.001551,0.104711,0.001425,35,84
scratch_tactile_policy,heldout_geometry,3,0.454762,0.018667,0.100764,0.004806,0.434853,0.005887,0.091685,0.002636,0.144619,0.001513,0.104402,0.001580,35,84
scratch_tactile_policy,heldout_geometry,4,0.469388,0.022235,0.100950,0.004735,0.435113,0.005758,0.091241,0.002766,0.143798,0.001643,0.104100,0.001493,35,84
scratch_tactile_policy,heldout_geometry,5,0.475510,0.021538,0.101135,0.004669,0.435888,0.005743,0.091238,0.002867,0.143587,0.001647,0.104028,0.001423,35,84
scratch_tactile_policy,heldout_geometry,6,0.461224,0.024544,0.101664,0.004673,0.435634,0.005863,0.091780,0.003117,0.143743,0.001645,0.104191,0.001372,35,84
scratch_tactile_policy,heldout_material,0,0.497619,0.020400,0.094797,0.004534,0.438703,0.006109,0.088204,0.002964,0.140194,0.001600,0.101936,0.001474,35,84
scratch_tactile_policy,heldout_material,1,0.476871,0.028696,0.093954,0.004878,0.438449,0.006341,0.088542,0.003032,0.140695,0.001539,0.101612,0.001365,35,84
scratch_tactile_policy,heldout_material,2,0.485034,0.018032,0.092767,0.004533,0.438195,0.006473,0.088351,0.002748,0.140905,0.001441,0.101738,0.001391,35,84
scratch_tactile_policy,heldout_material,3,0.476871,0.023489,0.092267,0.004519,0.438970,0.006459,0.088637,0.002770,0.140951,0.001445,0.101878,0.001281,35,84
scratch_tactile_policy,heldout_material,4,0.485034,0.019936,0.091766,0.004400,0.439231,0.006421,0.088057,0.002554,0.140932,0.001350,0.102019,0.001225,35,84
scratch_tactile_policy,heldout_material,5,0.489116,0.016606,0.091609,0.004266,0.439491,0.006404,0.087613,0.002577,0.140986,0.001213,0.102396,0.001223,35,84
scratch_tactile_policy,heldout_material,6,0.473129,0.021117,0.092138,0.004273,0.439237,0.006696,0.087969,0.002690,0.141402,0.001263,0.102560,0.001225,35,84
scratch_tactile_policy,heldout_object,0,0.497619,0.023525,0.085089,0.004414,0.444184,0.006058,0.084884,0.002771,0.137117,0.001552,0.099717,0.001517,35,84
scratch_tactile_policy,heldout_object,1,0.495578,0.019205,0.085605,0.004419,0.444941,0.006043,0.085110,0.002642,0.137502,0.001517,0.099643,0.001452,35,84
scratch_tactile_policy,heldout_object,2,0.493537,0.018606,0.085779,0.004344,0.443640,0.006307,0.085531,0.002732,0.137659,0.001433,0.099562,0.001573,35,84
scratch_tactile_policy,heldout_object,3,0.520068,0.018885,0.085610,0.004401,0.443883,0.006390,0.084746,0.002770,0.137072,0.001273,0.099702,0.001488,35,84
scratch_tactile_policy,heldout_object,4,0.501020,0.025975,0.085440,0.004367,0.444640,0.006376,0.085329,0.002911,0.137764,0.001431,0.099385,0.001382,35,84
scratch_tactile_policy,heldout_object,5,0.500340,0.020008,0.084585,0.004238,0.444368,0.006229,0.085384,0.002677,0.137210,0.001486,0.099739,0.001384,35,84
scratch_tactile_policy,heldout_object,6,0.492177,0.024236,0.084072,0.004458,0.444610,0.006421,0.085661,0.002867,0.137019,0.001612,0.099185,0.001262,35,84
uncertainty_gated_transfer,clean_transfer,0,0.601701,0.020434,0.087940,0.004968,0.544163,0.006516,0.068818,0.002504,0.271250,0.001487,0.085070,0.001405,35,84
uncertainty_gated_transfer,clean_transfer,1,0.613946,0.018994,0.088481,0.004973,0.544442,0.006415,0.068706,0.002562,0.270937,0.001751,0.085242,0.001316,35,84
uncertainty_gated_transfer,clean_transfer,2,0.619388,0.021120,0.087993,0.004756,0.542148,0.005839,0.067975,0.002592,0.270060,0.001734,0.085162,0.001336,35,84
uncertainty_gated_transfer,clean_transfer,3,0.600000,0.024260,0.087504,0.005016,0.541397,0.006054,0.068550,0.002541,0.270316,0.001689,0.084625,0.001434,35,84
uncertainty_gated_transfer,clean_transfer,4,0.602721,0.018477,0.087016,0.004766,0.540646,0.006257,0.068344,0.002487,0.270403,0.001644,0.085003,0.001434,35,84
uncertainty_gated_transfer,clean_transfer,5,0.606122,0.022745,0.086527,0.004844,0.539381,0.006134,0.068122,0.002479,0.270706,0.001609,0.084923,0.001373,35,84
uncertainty_gated_transfer,clean_transfer,6,0.613265,0.018409,0.087068,0.004850,0.539660,0.005937,0.067908,0.002716,0.270256,0.001403,0.084866,0.001259,35,84
uncertainty_gated_transfer,combined_stress,0,0.511565,0.020460,0.144363,0.005542,0.513867,0.006394,0.089300,0.003086,0.289229,0.001597,0.100788,0.001176,35,84
uncertainty_gated_transfer,combined_stress,1,0.524830,0.021419,0.144910,0.005547,0.512611,0.005936,0.089167,0.002961,0.289130,0.001634,0.101193,0.001179,35,84
uncertainty_gated_transfer,combined_stress,2,0.517687,0.025261,0.145114,0.005531,0.513413,0.005922,0.089739,0.003016,0.289399,0.001586,0.100904,0.000941,35,84
uncertainty_gated_transfer,combined_stress,3,0.530272,0.027448,0.145661,0.005537,0.513186,0.006246,0.089394,0.003331,0.289083,0.001655,0.101308,0.000944,35,84
uncertainty_gated_transfer,combined_stress,4,0.503061,0.023418,0.145521,0.005264,0.512444,0.006323,0.090204,0.003219,0.289941,0.001700,0.101697,0.000943,35,84
uncertainty_gated_transfer,combined_stress,5,0.524830,0.027631,0.145039,0.005649,0.512731,0.006320,0.089526,0.003237,0.289232,0.001448,0.101393,0.001112,35,84
uncertainty_gated_transfer,combined_stress,6,0.507483,0.021003,0.145585,0.005655,0.513534,0.006304,0.089930,0.003191,0.289227,0.001377,0.101569,0.001241,35,84
uncertainty_gated_transfer,heldout_geometry,0,0.562245,0.024427,0.122792,0.005175,0.524868,0.006243,0.080800,0.002706,0.281639,0.001293,0.095193,0.001202,35,84
uncertainty_gated_transfer,heldout_geometry,1,0.576531,0.024393,0.122659,0.005054,0.524650,0.005903,0.080578,0.002800,0.281755,0.001387,0.095129,0.001288,35,84
uncertainty_gated_transfer,heldout_geometry,2,0.539116,0.024399,0.123211,0.005059,0.524432,0.006231,0.081716,0.002636,0.282343,0.001288,0.095081,0.001258,35,84
uncertainty_gated_transfer,heldout_geometry,3,0.540476,0.020632,0.122735,0.005152,0.525243,0.006216,0.081553,0.002920,0.282463,0.001224,0.095467,0.001263,35,84
uncertainty_gated_transfer,heldout_geometry,4,0.547619,0.020672,0.122602,0.005218,0.524510,0.006814,0.081509,0.002869,0.282706,0.001176,0.094945,0.001250,35,84
uncertainty_gated_transfer,heldout_geometry,5,0.533673,0.023441,0.122811,0.005426,0.523778,0.006430,0.081341,0.002849,0.282873,0.001387,0.094889,0.001266,35,84
uncertainty_gated_transfer,heldout_geometry,6,0.535034,0.023817,0.122678,0.005666,0.523560,0.006265,0.081441,0.002834,0.282992,0.001408,0.094597,0.001293,35,84
uncertainty_gated_transfer,heldout_material,0,0.542517,0.015813,0.113846,0.005514,0.527942,0.006212,0.078289,0.002773,0.280090,0.001290,0.092882,0.001288,35,84
uncertainty_gated_transfer,heldout_material,1,0.550340,0.020629,0.114055,0.005488,0.527209,0.006385,0.078262,0.002696,0.279406,0.001555,0.092139,0.001255,35,84
uncertainty_gated_transfer,heldout_material,2,0.551020,0.023849,0.114608,0.005493,0.528020,0.006371,0.078219,0.002749,0.279309,0.001632,0.092091,0.001336,35,84
uncertainty_gated_transfer,heldout_material,3,0.545918,0.022518,0.114475,0.005732,0.527802,0.006201,0.078252,0.003013,0.279545,0.001705,0.092027,0.001262,35,84
uncertainty_gated_transfer,heldout_material,4,0.564626,0.026549,0.114341,0.005728,0.528098,0.006078,0.077919,0.002912,0.279123,0.001653,0.092420,0.001268,35,84
uncertainty_gated_transfer,heldout_material,5,0.560544,0.024376,0.114894,0.005733,0.528395,0.006274,0.078453,0.002865,0.279569,0.001537,0.092372,0.001328,35,84
uncertainty_gated_transfer,heldout_material,6,0.562925,0.017885,0.114418,0.005619,0.528691,0.006239,0.078265,0.002911,0.279670,0.001693,0.092758,0.001328,35,84
uncertainty_gated_transfer,heldout_object,0,0.576190,0.022701,0.104254,0.005194,0.536452,0.006493,0.074798,0.002604,0.276152,0.001826,0.089954,0.001408,35,84
uncertainty_gated_transfer,heldout_object,1,0.590816,0.023685,0.104109,0.005163,0.535187,0.006287,0.074101,0.002647,0.275567,0.001840,0.089653,0.001343,35,84
uncertainty_gated_transfer,heldout_object,2,0.576871,0.022481,0.103620,0.005044,0.533922,0.005869,0.074312,0.002536,0.275497,0.001763,0.089344,0.001333,35,84
uncertainty_gated_transfer,heldout_object,3,0.585714,0.022409,0.103475,0.005214,0.533171,0.006205,0.073987,0.002618,0.275473,0.001762,0.089501,0.001439,35,84
uncertainty_gated_transfer,heldout_object,4,0.571088,0.018585,0.102987,0.004898,0.532935,0.006237,0.074215,0.002507,0.275872,0.001599,0.089879,0.001436,35,84
uncertainty_gated_transfer,heldout_object,5,0.596259,0.018900,0.102841,0.005072,0.531670,0.006114,0.073711,0.002549,0.275555,0.001515,0.089578,0.001272,35,84
uncertainty_gated_transfer,heldout_object,6,0.557143,0.020489,0.103382,0.005078,0.531949,0.005917,0.074654,0.002782,0.276166,0.001460,0.089750,0.001263,35,84
