method,split,n,stress,mismatch,action_criticality,clean_retention,success,success_ci95,utility,utility_ci95,deploy_utility,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
sensor_health_filter,heldout_geometry,800,0.48,0.23744,0.65071,0.616488,0.631538,0.000472,0.505854,0.001128,0.505854,0.057211,0.000942,0.643401,0.000656,0.047258,0.00058,0.165385,0.000151,0.051444,0.000403,0.101014,0.060737
sensor_health_filter,heldout_material,800,0.38,0.24009,0.61631,0.618321,0.638437,0.000477,0.508432,0.001345,0.508432,0.056775,0.001055,0.643564,0.000682,0.056263,0.000766,0.155808,0.000161,0.051373,0.000467,0.100865,0.063977
sensor_health_filter,heldout_object,800,0.28,0.171086,0.59871,0.625743,0.649007,0.000407,0.536688,0.000962,0.536688,0.047299,0.000827,0.647312,0.000609,0.043657,0.000504,0.145255,0.000148,0.046458,0.000363,0.099216,0.055176
sensor_health_filter,latency_contact_shift,800,0.76,0.299191,0.70671,0.605959,0.609207,0.000488,0.46314,0.001447,0.46314,0.071429,0.001456,0.634941,0.000926,0.053623,0.000707,0.194389,0.000172,0.057612,0.00057,0.10869,0.069988
sensor_health_filter,sensor_bias_shift,800,0.68,0.275466,0.68031,0.609442,0.617999,0.000505,0.478134,0.001272,0.478134,0.066075,0.001311,0.639602,0.000771,0.051109,0.000654,0.187263,0.000164,0.055496,0.000538,0.111281,0.067467
test_time_tactile_adaptation,clean_transfer,800,0.06,0.121263,0.54851,0.756173,0.713162,0.000445,0.607137,0.001072,0.607137,0.046235,0.000821,0.650145,0.000542,0.043965,0.000563,0.112851,0.000139,0.044091,0.000328,0.114576,0.05746
test_time_tactile_adaptation,combined_stress,800,0.88,0.362293,0.75471,0.723415,0.642412,0.000473,0.465846,0.002059,0.465846,0.09663,0.001951,0.630213,0.000889,0.071574,0.001086,0.19294,0.000153,0.065945,0.000712,0.138073,0.0915
test_time_tactile_adaptation,friction_compliance_shift,800,0.58,0.26869,0.66551,0.735893,0.668057,0.00046,0.518392,0.001624,0.518392,0.073623,0.001339,0.638804,0.000718,0.064877,0.000959,0.161274,0.000147,0.056675,0.000533,0.124249,0.077717
test_time_tactile_adaptation,heldout_geometry,800,0.48,0.23744,0.65071,0.740057,0.677601,0.000451,0.542377,0.001356,0.542377,0.067363,0.001105,0.641179,0.000643,0.053746,0.000722,0.151537,0.000145,0.053845,0.000443,0.121418,0.070567
test_time_tactile_adaptation,heldout_material,800,0.38,0.24009,0.61631,0.741136,0.683959,0.00048,0.542294,0.001613,0.542294,0.066773,0.001247,0.641287,0.0007,0.065526,0.000976,0.142708,0.000151,0.053706,0.000525,0.121218,0.074793
test_time_tactile_adaptation,heldout_object,800,0.28,0.171086,0.59871,0.748735,0.694818,0.000428,0.57491,0.001205,0.57491,0.055261,0.000989,0.646938,0.000588,0.048795,0.000653,0.133194,0.000147,0.048316,0.00039,0.118073,0.063415
test_time_tactile_adaptation,latency_contact_shift,800,0.76,0.299191,0.70671,0.730742,0.653907,0.00047,0.495444,0.001773,0.495444,0.083682,0.00169,0.635059,0.000803,0.06197,0.0009,0.180283,0.000148,0.060483,0.000617,0.13276,0.081946
test_time_tactile_adaptation,sensor_bias_shift,800,0.68,0.275466,0.68031,0.733957,0.661025,0.000469,0.507625,0.001731,0.507625,0.079932,0.001649,0.63797,0.000753,0.059318,0.000845,0.175211,0.000149,0.058599,0.000605,0.135304,0.079933
uncertainty_gated_transfer,clean_transfer,800,0.06,0.121263,0.54851,0.649436,0.663407,0.000453,0.549166,0.00112,0.549166,0.047784,0.000891,0.590406,0.000628,0.043382,0.000524,0.150189,0.000159,0.045857,0.00037,0.107667,0.056697
uncertainty_gated_transfer,combined_stress,800,0.88,0.362293,0.75471,0.599235,0.585657,0.000593,0.394045,0.002377,0.394045,0.100685,0.002132,0.566366,0.001156,0.069829,0.001049,0.256577,0.000242,0.069998,0.000799,0.131538,0.091445
uncertainty_gated_transfer,friction_compliance_shift,800,0.58,0.26869,0.66551,0.618066,0.614565,0.000529,0.453441,0.001819,0.453441,0.075744,0.001465,0.577049,0.000838,0.062727,0.000897,0.215032,0.000204,0.059909,0.000596,0.117869,0.076796
uncertainty_gated_transfer,heldout_geometry,800,0.48,0.23744,0.65071,0.624348,0.624649,0.000485,0.478186,0.001465,0.478186,0.069166,0.001191,0.579969,0.000735,0.052672,0.000686,0.201914,0.000186,0.056687,0.000487,0.115003,0.069901
uncertainty_gated_transfer,heldout_material,800,0.38,0.24009,0.61631,0.62772,0.63145,0.000519,0.479964,0.001728,0.479964,0.068545,0.001321,0.580216,0.000783,0.063443,0.000915,0.190433,0.0002,0.05634,0.000559,0.11474,0.073701
uncertainty_gated_transfer,heldout_object,800,0.28,0.171086,0.59871,0.637241,0.643543,0.000501,0.513788,0.001358,0.513788,0.056985,0.001061,0.586305,0.000707,0.048086,0.000626,0.177274,0.000167,0.050569,0.00043,0.111205,0.062722
uncertainty_gated_transfer,latency_contact_shift,800,0.76,0.299191,0.70671,0.608969,0.598394,0.00055,0.425762,0.002074,0.425762,0.087425,0.001885,0.570748,0.001073,0.060605,0.000864,0.239978,0.00022,0.064207,0.000688,0.125846,0.081828
uncertainty_gated_transfer,sensor_bias_shift,800,0.68,0.275466,0.68031,0.613885,0.606782,0.000528,0.440512,0.00194,0.440512,0.082707,0.001807,0.575463,0.000925,0.057647,0.000806,0.232224,0.000209,0.062049,0.000669,0.128733,0.079403
